phase_id,list_id,task,stim_id,task_id,order
1,2,interest,86,IN086,20
1,2,interest,78,IN078,21
1,2,interest,80,IN080,22
1,2,interest,63,IN063,23
1,2,interest,15,IN015,24
1,2,interest,18,IN018,25
1,2,interest,4,IN004,26
1,2,interest,121,IN121,27
1,2,interest,123,IN123,28
1,2,interest,10,IN010,29
1,2,interest,88,IN088,30
1,2,interest,128,IN128,31
1,2,interest,65,IN065,32
1,2,interest,70,IN070,33
1,2,interest,2,IN002,34
1,2,interest,12,IN012,35
1,2,interest,68,IN068,36
1,2,interest,17,IN017,37
1,2,interest,73,IN073,38
1,2,interest,125,IN125,39
1,2,interest,85,IN085,40
1,2,interest,6,IN006,41
1,2,interest,24,IN024,42
1,2,interest,14,IN014,43
1,2,interest,66,IN066,44
1,2,interest,81,IN081,45
1,2,interest,22,IN022,46
1,2,interest,16,IN016,47
1,2,interest,76,IN076,48
1,2,interest,21,IN021,49
1,2,interest,11,IN011,50
1,2,interest,127,IN127,51
1,2,interest,13,IN013,52
1,2,interest,23,IN023,53
1,2,interest,75,IN075,54
1,2,interest,74,IN074,55
1,2,interest,61,IN061,56
1,2,interest,69,IN069,57
1,2,interest,71,IN071,58
1,2,interest,126,IN126,59
1,2,interest,20,IN020,60
1,2,interest,8,IN008,61
1,2,interest,64,IN064,62
1,2,interest,122,IN122,63
1,2,interest,124,IN124,64
1,2,truth,31,TR031,1
1,2,truth,96,TR096,2
1,2,truth,61,TR061,3
1,2,truth,32,TR032,4
1,2,truth,28,TR028,5
1,2,truth,62,TR062,6
1,2,truth,91,TR091,7
1,2,truth,64,TR064,8
1,2,truth,124,TR124,9
1,2,truth,93,TR093,10
1,2,truth,29,TR029,11
1,2,truth,89,TR089,12
1,2,truth,26,TR026,13
1,2,truth,63,TR063,14
1,2,truth,57,TR057,15
1,2,truth,92,TR092,16
1,2,truth,25,TR025,17
1,2,truth,30,TR030,18
1,2,truth,60,TR060,19
1,2,truth,128,TR128,20
1,2,truth,127,TR127,21
1,2,truth,59,TR059,22
1,2,truth,125,TR125,23
1,2,truth,94,TR094,24
1,2,truth,126,TR126,25
1,2,truth,90,TR090,26
1,2,truth,58,TR058,27
1,2,truth,121,TR121,28
1,2,truth,95,TR095,29
1,2,truth,122,TR122,30
1,2,truth,27,TR027,31
1,2,truth,123,TR123,32
2,2,truth,40,TR040,1
2,2,truth,71,TR071,2
2,2,truth,36,TR036,3
2,2,truth,7,TR007,4
2,2,truth,8,TR008,5
2,2,truth,68,TR068,6
2,2,truth,103,TR103,7
2,2,truth,101,TR101,8
2,2,truth,2,TR002,9
2,2,truth,4,TR004,10
2,2,truth,1,TR001,11
2,2,truth,99,TR099,12
2,2,truth,33,TR033,13
2,2,truth,6,TR006,14
2,2,truth,3,TR003,15
2,2,truth,98,TR098,16
2,2,truth,38,TR038,17
2,2,truth,37,TR037,18
2,2,truth,35,TR035,19
2,2,truth,65,TR065,20
2,2,truth,104,TR104,21
2,2,truth,102,TR102,22
2,2,truth,66,TR066,23
2,2,truth,34,TR034,24
2,2,truth,72,TR072,25
2,2,truth,100,TR100,26
2,2,truth,67,TR067,27
2,2,truth,39,TR039,28
2,2,truth,69,TR069,29
2,2,truth,70,TR070,30
2,2,truth,5,TR005,31
2,2,truth,97,TR097,32
3,2,truth,75,TR075,1
3,2,truth,112,TR112,2
3,2,truth,43,TR043,3
3,2,truth,80,TR080,4
3,2,truth,74,TR074,5
3,2,truth,12,TR012,6
3,2,truth,106,TR106,7
3,2,truth,10,TR010,8
3,2,truth,110,TR110,9
3,2,truth,13,TR013,10
3,2,truth,78,TR078,11
3,2,truth,77,TR077,12
3,2,truth,76,TR076,13
3,2,truth,45,TR045,14
3,2,truth,14,TR014,15
3,2,truth,9,TR009,16
3,2,truth,41,TR041,17
3,2,truth,47,TR047,18
3,2,truth,73,TR073,19
3,2,truth,108,TR108,20
3,2,truth,79,TR079,21
3,2,truth,109,TR109,22
3,2,truth,16,TR016,23
3,2,truth,107,TR107,24
3,2,truth,11,TR011,25
3,2,truth,48,TR048,26
3,2,truth,44,TR044,27
3,2,truth,15,TR015,28
3,2,truth,105,TR105,29
3,2,truth,46,TR046,30
3,2,truth,42,TR042,31
3,2,truth,111,TR111,32
4,2,truth,53,TR053,1
4,2,truth,86,TR086,2
4,2,truth,56,TR056,3
4,2,truth,81,TR081,4
4,2,truth,113,TR113,5
4,2,truth,82,TR082,6
4,2,truth,50,TR050,7
4,2,truth,85,TR085,8
4,2,truth,51,TR051,9
4,2,truth,84,TR084,10
4,2,truth,55,TR055,11
4,2,truth,22,TR022,12
4,2,truth,21,TR021,13
4,2,truth,17,TR017,14
4,2,truth,19,TR019,15
4,2,truth,83,TR083,16
4,2,truth,49,TR049,17
4,2,truth,118,TR118,18
4,2,truth,115,TR115,19
4,2,truth,88,TR088,20
4,2,truth,120,TR120,21
4,2,truth,119,TR119,22
4,2,truth,23,TR023,23
4,2,truth,54,TR054,24
4,2,truth,114,TR114,25
4,2,truth,18,TR018,26
4,2,truth,52,TR052,27
4,2,truth,87,TR087,28
4,2,truth,24,TR024,29
4,2,truth,20,TR020,30
4,2,truth,116,TR116,31
4,2,truth,117,TR117,32
1,3,interest,2,IN002,1
1,3,interest,69,IN069,2
1,3,interest,74,IN074,3
1,3,interest,79,IN079,4
1,3,interest,54,IN054,5
1,3,interest,115,IN115,6
1,3,interest,120,IN120,7
1,3,interest,80,IN080,8
1,3,interest,118,IN118,9
1,3,interest,72,IN072,10
1,3,interest,66,IN066,11
1,3,interest,52,IN052,12
1,3,interest,61,IN061,13
1,3,interest,4,IN004,14
1,3,interest,68,IN068,15
1,3,interest,3,IN003,16
1,3,interest,126,IN126,17
1,3,interest,121,IN121,18
1,3,interest,127,IN127,19
1,3,interest,70,IN070,20
1,3,interest,13,IN013,21
1,3,interest,71,IN071,22
1,3,interest,122,IN122,23
1,3,interest,8,IN008,24
1,3,interest,117,IN117,25
1,3,interest,11,IN011,26
1,3,interest,113,IN113,27
1,3,interest,7,IN007,28
1,3,interest,119,IN119,29
1,3,interest,58,IN058,30
1,3,interest,51,IN051,31
1,3,interest,15,IN015,32
1,3,interest,6,IN006,33
1,3,interest,10,IN010,34
1,3,interest,14,IN014,35
1,3,interest,55,IN055,36
1,3,interest,76,IN076,37
1,3,interest,65,IN065,38
1,3,interest,125,IN125,39
1,3,interest,123,IN123,40
1,3,interest,1,IN001,41
1,3,interest,53,IN053,42
1,3,interest,77,IN077,43
1,3,interest,9,IN009,44
1,3,interest,56,IN056,45
1,3,interest,124,IN124,46
1,3,interest,62,IN062,47
1,3,interest,75,IN075,48
1,3,interest,114,IN114,49
1,3,interest,16,IN016,50
1,3,interest,78,IN078,51
1,3,interest,128,IN128,52
1,3,interest,116,IN116,53
1,3,interest,60,IN060,54
1,3,interest,12,IN012,55
1,3,interest,50,IN050,56
1,3,interest,63,IN063,57
1,3,interest,49,IN049,58
1,3,interest,57,IN057,59
1,3,interest,67,IN067,60
1,3,interest,73,IN073,61
1,3,interest,5,IN005,62
1,3,interest,59,IN059,63
1,3,interest,64,IN064,64
1,3,truth,53,TR053,1
1,3,truth,51,TR051,2
1,3,truth,54,TR054,3
1,3,truth,118,TR118,4
1,3,truth,87,TR087,5
1,3,truth,116,TR116,6
1,3,truth,22,TR022,7
1,3,truth,19,TR019,8
1,3,truth,21,TR021,9
1,3,truth,20,TR020,10
1,3,truth,23,TR023,11
1,3,truth,84,TR084,12
1,3,truth,55,TR055,13
1,3,truth,88,TR088,14
1,3,truth,24,TR024,15
1,3,truth,83,TR083,16
1,3,truth,52,TR052,17
1,3,truth,117,TR117,18
1,3,truth,115,TR115,19
1,3,truth,82,TR082,20
1,3,truth,81,TR081,21
1,3,truth,113,TR113,22
1,3,truth,119,TR119,23
1,3,truth,56,TR056,24
1,3,truth,49,TR049,25
1,3,truth,114,TR114,26
1,3,truth,120,TR120,27
1,3,truth,50,TR050,28
1,3,truth,17,TR017,29
1,3,truth,18,TR018,30
1,3,truth,86,TR086,31
1,3,truth,85,TR085,32
2,3,truth,90,TR090,1
2,3,truth,25,TR025,2
2,3,truth,32,TR032,3
2,3,truth,64,TR064,4
2,3,truth,59,TR059,5
2,3,truth,128,TR128,6
2,3,truth,27,TR027,7
2,3,truth,126,TR126,8
2,3,truth,95,TR095,9
2,3,truth,89,TR089,10
2,3,truth,29,TR029,11
2,3,truth,94,TR094,12
2,3,truth,60,TR060,13
2,3,truth,61,TR061,14
2,3,truth,122,TR122,15
2,3,truth,57,TR057,16
2,3,truth,31,TR031,17
2,3,truth,26,TR026,18
2,3,truth,62,TR062,19
2,3,truth,125,TR125,20
2,3,truth,127,TR127,21
2,3,truth,92,TR092,22
2,3,truth,124,TR124,23
2,3,truth,58,TR058,24
2,3,truth,96,TR096,25
2,3,truth,63,TR063,26
2,3,truth,93,TR093,27
2,3,truth,30,TR030,28
2,3,truth,121,TR121,29
2,3,truth,91,TR091,30
2,3,truth,28,TR028,31
2,3,truth,123,TR123,32
3,3,truth,68,TR068,1
3,3,truth,6,TR006,2
3,3,truth,7,TR007,3
3,3,truth,34,TR034,4
3,3,truth,101,TR101,5
3,3,truth,98,TR098,6
3,3,truth,100,TR100,7
3,3,truth,1,TR001,8
3,3,truth,99,TR099,9
3,3,truth,37,TR037,10
3,3,truth,35,TR035,11
3,3,truth,102,TR102,12
3,3,truth,40,TR040,13
3,3,truth,3,TR003,14
3,3,truth,2,TR002,15
3,3,truth,33,TR033,16
3,3,truth,38,TR038,17
3,3,truth,65,TR065,18
3,3,truth,71,TR071,19
3,3,truth,72,TR072,20
3,3,truth,66,TR066,21
3,3,truth,70,TR070,22
3,3,truth,4,TR004,23
3,3,truth,36,TR036,24
3,3,truth,104,TR104,25
3,3,truth,39,TR039,26
3,3,truth,8,TR008,27
3,3,truth,5,TR005,28
3,3,truth,103,TR103,29
3,3,truth,97,TR097,30
3,3,truth,69,TR069,31
