task_id,statement
TR068,Alberto Fujimori served as president of Peru from 1990 − 2000.
TR065,The peace treaty ending the Franco-German War was signed in Frankfurt.
TR038,Richard Gere and Cindy Crawford got married in Mexico.
TR008,Valparaiso is one of Angola's biggest cities.
TR007,The capital of Madagascar is Toamasina.
TR102,Semiotics is the philosophical theory of signs.
TR097,Panarellos are steam wand adaptors on espresso machines.
TR071,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.
TR035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
TR039,Gisele Bündchen has a twin brother.
TR100,The first windmills were built in Persia.
TR033,The all-wheel drive was invented in England in 1938.
TR006,Socrates was Alexander the Great's teacher.
TR072,The band 'Oasis' named itself after a leisure centre.
TR036,The German boxer Henry Maske became world champion in the cruiserweight class.
TR103,A housefly has a maximum lifespan of 70 days.
TR001,The natural red dye in the shells of crustaceans is called xanthophyll.
TR003,The fourth man on the moon was Charles P. Conrad.
TR004,The air pump is a French invention.
TR098,"Blackberries, raspberries, and strawberries belong to the Rose family."
TR101,Herbert Blumer was the leading symbolic interactionist of his time.
TR067,"In men, excessive sex drive is not called nymphomania, but satyriasis."
TR034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
TR037,'Au rendez-vous des amis' is a painting by August Macke.
TR069,Tigers not only have striped fur but also striped skin.
TR099,"Mongols put salt, not sugar, in their tea."
TR066,Canada has the world's longest coastline.
TR104,The German rock band Tokio Hotel was previously called 'Devilish'.
TR040,The sun's photosphere can only be observed through a coronagraph.
TR070,The Yukon is the third longest river in the United States.
TR005,A galactic year takes 2500 terrestrial years.
TR002,Sac fungi belong to the Protista family.
