task_id,statement
CJ065,The peace treaty ending the Franco-German War was signed in Frankfurt.
CJ007,The capital of Madagascar is Toamasina.
CJ043,The Lama temple is located in Shanghai.
CJ051,The zero meridian runs through the London Borough of Kingston.
CJ108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
CJ127,The Congo has the largest water flow rate of any river in Africa.
CJ045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
CJ052,Volleyball was invented in Florida.
CJ111,Yasser Arafat fought in the Suez war for the Egyptian army.
CJ005,A galactic year takes 2500 terrestrial years.
CJ049,The first on-board computer for cars was developed in America.
CJ109,Three-coloured cats are almost always female.
CJ060,The black alder belongs to the beech family.
CJ059,Every odd number greater than two can be the sum of two prime numbers.
CJ113,The film 'Indecent Proposal' won the Golden Raspberry for worst film.
CJ114,The first time Italy won the football World Cup was in 1934.
CJ069,Tigers not only have striped fur but also striped skin.
CJ041,The Cocos Islands belong to Indonesia.
CJ072,The band 'Oasis' named itself after a leisure centre.
CJ071,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.
CJ004,The air pump is a French invention.
CJ070,The Yukon is the third longest river in the United States.
CJ126,Female ferrets can die from oestrogen poisoning if they are on heat and do not get pregnant.
CJ068,Alberto Fujimori served as president of Peru from 1990 − 2000.
CJ047,"The last EU country to abolish the death penalty was Spain, in 1996."
CJ055,"A swan has about 50,000 feathers on its body."
CJ112,The Battle of Zama marked the end of the Second Punic war.
CJ063,Jean-Jacques Rousseau was a single father.
CJ050,John Wayne's real name was Jonathan Walter Miller.
CJ042,Mehndi is the Indian word for Yoga Master.
CJ001,The natural red dye in the shells of crustaceans is called xanthophyll.
CJ110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
CJ125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life'
CJ057,Lake Segozero in Russia is the largest lake in Europe.
CJ006,Socrates was Alexander the Great's teacher.
CJ121,Nauru is the smallest sovereign republic on earth.
CJ106,James Polk was president of the United States from 1845-1849.
CJ124,The exosphere is the uppermost layer of the Earth's atmosphere.
CJ002,Sac fungi belong to the Protista family.
CJ119,Pamela Anderson is a Canadian citizen.
CJ122,The ad-Dahna Desert is in Saudi Arabia.
CJ048,"Ibo, like Esperanto, is a made-up world language."
CJ116,Odin is a major god in most branches of Germanic mythology.
CJ046,Ephendios is the Greek god of agriculture.
CJ066,Canada has the world's longest coastline.
CJ003,The fourth man on the moon was Charles P. Conrad.
CJ115,'The Rite of Spring' is a piece of music by Igor Stravinsky.
CJ008,Valparaiso is one of Angola's biggest cities.
CJ064,A system crash on a Mac computer is indicated by a warning triangle.
CJ044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
CJ107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
CJ067,"In men, excessive sex drive is not called nymphomania, but satyriasis."
CJ058,Ultrasound consists of waves and vibrations below 16 Hertz.
CJ128,The official language in Uganda is English.
CJ123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.
CJ053,The act of comparison with something impossible is called 'an aberration'.
CJ118,The Swedes were the first to introduce cartons instead of milk bottles.
CJ062,King Charles IV of France was nicknamed 'Charles the Evil'.
CJ054,The world's tallest tree is a spruce.
CJ120,Tokyo is the world's most populous city.
CJ117,Freddie Mercury's real name was Farrokh Bulsara.
CJ061,The Capybara is the largest of all marsupials.
CJ105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
CJ056,All clocks in the film 'Pulp Fiction' are set to 4:10.
TR009,Parema Lapis is a type of parasite.
TR074,Lubaantun is a ruined Mayan city in Belize.
TR046,Ephendios is the Greek god of agriculture.
TR079,The Slavonia was the first ship to use the SOS distress signal.
TR010,Theodore Fontane published his first novel at the age of 35.
TR076,Bolivia has the highest-altitude seat of government in the world.
TR110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
TR045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
TR105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
TR073,"In ancient Roman religion, the Penates were household deities."
TR080,Only about two percent of the world's population is naturally blonde.
TR048,"Ibo, like Esperanto, is a made-up world language."
TR043,The Lama temple is located in Shanghai.
TR047,"The last EU country to abolish the death penalty was Spain, in 1996."
TR075,Manama is the capital of Bahrain.
TR015,The activity of a radioactive substance is measured in Sievert.
TR041,The Cocos Islands belong to Indonesia.
TR013,11.9% of the earth's surface is 1000 meters above sea level.
TR106,James Polk was president of the United States from 1845-1849.
TR112,The Battle of Zama marked the end of the Second Punic war.
TR016,The standard base unit of time is milliseconds.
TR109,Three-coloured cats are almost always female.
TR012,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels."
TR108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
TR077,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.'
TR078,The Ising model is a mathematical model of ferromagnetism.
TR011,The Prophet Muhammad worked as a doctor before his religious calling.
TR042,Mehndi is the Indian word for Yoga Master.
TR044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
TR111,Yasser Arafat fought in the Suez war for the Egyptian army.
TR014,Pope Pius IX was Pope Leo XIII's successor.
TR107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
